address: 0x6419c1ef5e2aaa378168290b287773e2, amount: 6555.00 stc
address: 0x7a3d313525cded6f83afa83520b93ea2, amount: 3378.00 stc
address: 0x60dbd14cf4b8f59b5ce65837db06e149, amount: 1967.00 stc
address: 0xb9417cac74ed03166d4a65c96331708c, amount: 479.00 stc
address: 0xbc8f4edaccb89c384d86ffb8401edeee, amount: 479.00 stc
address: 0xf54de1f1b4d8718733ea3fc092dadcb2, amount: 479.00 stc
address: 0xa52bb199c2916f45f211f8ddd543f359, amount: 479.00 stc
address: 0x091c539cea91e94c4d99dae7b5a0f8c6, amount: 479.00 stc
address: 0x122f7d6b30e19aa460a26fb39b0ca88a, amount: 479.00 stc
address: 0x0afe1dc5f680cc77e4fe8497cf6369a4, amount: 479.00 stc
address: 0xc3e1f2872580a3b66082439cf291b2a6, amount: 479.00 stc
address: 0xf8b2c6acc051b504abee54d3d2cf1a03, amount: 479.00 stc
address: 0xdd4495e01a64f650d21a73d23a19d7f8, amount: 479.00 stc
address: 0x7f63b87f84463db56b655a9ca54cb549, amount: 479.00 stc
address: 0x53b6be790f82d18b7ddbbf35c0b97270, amount: 479.00 stc
address: 0xf97b51044c2f437db47b8d52fcb7d9dd, amount: 479.00 stc
address: 0xf5e77d3ba273984874b866ee98f4913f, amount: 479.00 stc
address: 0x74b455f63739e537bb4c01bb3bb75682, amount: 479.00 stc
address: 0x5cb514163ada962dc0dd4b936ce7a146, amount: 479.00 stc
address: 0x06b39d0f77fbb19471326ac350332634, amount: 479.00 stc
address: 0xf3eabb66d6ed7e66d0bf1406e255060b, amount: 479.00 stc
address: 0x3d9fd030eb34afb2da4044eff2624c26, amount: 479.00 stc
address: 0xe781a5488aeb092fc2e2e27e3e6afd84, amount: 479.00 stc
address: 0xb2451fe07c5eaf39f014a9c46de824db, amount: 479.00 stc
address: 0xf49d69c8c06ea3788608a3552e6e8b78, amount: 479.00 stc
address: 0xcf3caf4c74eace5058a49f17f2b9b660, amount: 479.00 stc
address: 0x9653157a4971d483ad348515477e6ffd, amount: 479.00 stc
address: 0x937c2afda819dca1e8d10f40687dc72d, amount: 479.00 stc
address: 0x83014b919c83b8cf8e7fd5e119bd79df, amount: 479.00 stc
address: 0x163b8b8d117e0bd0857ce537178f1341, amount: 479.00 stc
address: 0x6813d443faddcc3667c6e2656bf7ed13, amount: 479.00 stc
address: 0x97390d4df96885942198f4e27129c432, amount: 479.00 stc
address: 0x3af0ec4222007faa8893be6b38424860, amount: 479.00 stc
address: 0x81949806dde52b3e99641593a16e82a0, amount: 479.00 stc
address: 0x2c5ef6a47e0361c42171b3d7f36afe4c, amount: 479.00 stc
address: 0x3056116b9c53cc56d2607c277c16e50b, amount: 479.00 stc
address: 0x2ebfa009c056d504cb93b4c5a172e965, amount: 479.00 stc
address: 0x0d35c3259ed232b6db745039010ebaad, amount: 479.00 stc
address: 0xde00996a074c5854360f0ff4eee58e3b, amount: 479.00 stc
address: 0xbea970915ca155042257fa7117f9f9a6, amount: 479.00 stc
address: 0x66433a160c3b8c72c25c3a28c4beadcb, amount: 479.00 stc
address: 0x359978d3fa1b1832de48524d412d4986, amount: 479.00 stc
address: 0xff6901275289438518d770dacb88e86f, amount: 479.00 stc
address: 0x6041d18b498f4f0bf11b721751128a3a, amount: 479.00 stc
address: 0xa5bdac0b224fd42a3274b925eecd4b45, amount: 7555.00 stc
address: 0x763b1dc0174c693fc28f011ca7bef2e6, amount: 3778.00 stc
address: 0x94e957321e7bb2d3eb08ff6be81a6fcd, amount: 2267.00 stc
address: 0x8635e156687e66430517b0b4345f8d9b, amount: 656.00 stc
address: 0x41886b1123b45b56b7361948f07440f5, amount: 656.00 stc
address: 0x07de6cf81dd2eb8d446188162a9efde7, amount: 656.00 stc
address: 0x7d644447bb249fcfc5349b941b28da9d, amount: 656.00 stc
address: 0x40d5d011dd58e330d8d0bd6ccb0a12ba, amount: 656.00 stc
address: 0x2926c39e6dbf85766ccee01b6cf10337, amount: 656.00 stc
address: 0x1fd4e2ba9c1c513773a5c0d3a99f36a9, amount: 656.00 stc
address: 0xa0a7662cf968067ef055c1ea3f9da91c, amount: 656.00 stc
address: 0x4220a8a5a5aff4c221c364a1d6f55a41, amount: 656.00 stc
address: 0x37f161f09e00622944eaefd86668b0d1, amount: 656.00 stc
address: 0x05f2b9d985e93077fbfb96e1c19f7e24, amount: 656.00 stc
address: 0x7e76da07c6731247fb381d64f37263b5, amount: 656.00 stc
address: 0x48c8d0025743961d479fdc3daa5225e5, amount: 656.00 stc
address: 0xa3da1a75f2c6797c0efca939f1db39c8, amount: 656.00 stc
address: 0x0d561ff4f27bc8d48cedc065803ad5db, amount: 656.00 stc
address: 0x94e957321e7bb2d3eb08ff6be81a6fcd, amount: 1000.00 stc
address: 0xa5bdac0b224fd42a3274b925eecd4b45, amount: 328.00 stc
address: 0xa5bdac0b224fd42a3274b925eecd4b45, amount: 328.00 stc
address: 0x763b1dc0174c693fc28f011ca7bef2e6, amount: 328.00 stc
address: 0x94e957321e7bb2d3eb08ff6be81a6fcd, amount: 328.00 stc
address: 0x763b1dc0174c693fc28f011ca7bef2e6, amount: 328.00 stc
address: 0x55188cd17adc6f82508d0e4dc33c4ba2, amount: 328.00 stc
address: 0xa5bdac0b224fd42a3274b925eecd4b45, amount: 328.00 stc
address: 0xb7166a727a9c7bf839068d210173bf9e, amount: 328.00 stc
address: 0x86c54d8db90523e53e02b3bed19bc3c0, amount: 328.00 stc
address: 0xf5ae543d68bfa9ff62f2f9b26f6f058d, amount: 328.00 stc
address: 0x80ba34caed7033a33bc0585dd032d9c9, amount: 1.00 stc
address: 0xf43e1076df4467a8aec8e439f27a0bf3, amount: 1.00 stc
