address: 0x6419c1ef5e2aaa378168290b287773e2, amount: 6555.00 stc
address: 0x7a3d313525cded6f83afa83520b93ea2, amount: 3378.00 stc
address: 0x60dbd14cf4b8f59b5ce65837db06e149, amount: 1967.00 stc
address: 0xb9417cac74ed03166d4a65c96331708c, amount: 479.00 stc
address: 0xbc8f4edaccb89c384d86ffb8401edeee, amount: 479.00 stc
address: 0xf54de1f1b4d8718733ea3fc092dadcb2, amount: 479.00 stc
address: 0xa52bb199c2916f45f211f8ddd543f359, amount: 479.00 stc
address: 0x091c539cea91e94c4d99dae7b5a0f8c6, amount: 479.00 stc
address: 0x122f7d6b30e19aa460a26fb39b0ca88a, amount: 479.00 stc
address: 0x0afe1dc5f680cc77e4fe8497cf6369a4, amount: 479.00 stc
address: 0xc3e1f2872580a3b66082439cf291b2a6, amount: 479.00 stc
address: 0xf8b2c6acc051b504abee54d3d2cf1a03, amount: 479.00 stc
address: 0xdd4495e01a64f650d21a73d23a19d7f8, amount: 479.00 stc
address: 0x7f63b87f84463db56b655a9ca54cb549, amount: 479.00 stc
address: 0x53b6be790f82d18b7ddbbf35c0b97270, amount: 479.00 stc
address: 0xf97b51044c2f437db47b8d52fcb7d9dd, amount: 479.00 stc
address: 0xf5e77d3ba273984874b866ee98f4913f, amount: 479.00 stc
address: 0x74b455f63739e537bb4c01bb3bb75682, amount: 479.00 stc
address: 0x5cb514163ada962dc0dd4b936ce7a146, amount: 479.00 stc
address: 0x06b39d0f77fbb19471326ac350332634, amount: 479.00 stc
address: 0xf3eabb66d6ed7e66d0bf1406e255060b, amount: 479.00 stc
address: 0x3d9fd030eb34afb2da4044eff2624c26, amount: 479.00 stc
address: 0xe781a5488aeb092fc2e2e27e3e6afd84, amount: 479.00 stc
address: 0xb2451fe07c5eaf39f014a9c46de824db, amount: 479.00 stc
address: 0xf49d69c8c06ea3788608a3552e6e8b78, amount: 479.00 stc
address: 0xcf3caf4c74eace5058a49f17f2b9b660, amount: 479.00 stc
address: 0x937c2afda819dca1e8d10f40687dc72d, amount: 479.00 stc
address: 0x83014b919c83b8cf8e7fd5e119bd79df, amount: 479.00 stc
address: 0x163b8b8d117e0bd0857ce537178f1341, amount: 479.00 stc
address: 0x6813d443faddcc3667c6e2656bf7ed13, amount: 479.00 stc
address: 0x97390d4df96885942198f4e27129c432, amount: 479.00 stc
address: 0x3af0ec4222007faa8893be6b38424860, amount: 479.00 stc
address: 0x81949806dde52b3e99641593a16e82a0, amount: 479.00 stc
address: 0x2c5ef6a47e0361c42171b3d7f36afe4c, amount: 479.00 stc
address: 0x3056116b9c53cc56d2607c277c16e50b, amount: 479.00 stc
address: 0x2ebfa009c056d504cb93b4c5a172e965, amount: 479.00 stc
address: 0x0d35c3259ed232b6db745039010ebaad, amount: 479.00 stc
address: 0xde00996a074c5854360f0ff4eee58e3b, amount: 479.00 stc
address: 0xbea970915ca155042257fa7117f9f9a6, amount: 479.00 stc
address: 0x66433a160c3b8c72c25c3a28c4beadcb, amount: 479.00 stc
address: 0x359978d3fa1b1832de48524d412d4986, amount: 479.00 stc
address: 0xff6901275289438518d770dacb88e86f, amount: 479.00 stc
address: 0x6041d18b498f4f0bf11b721751128a3a, amount: 479.00 stc
address: 0x0c52094bd73217c5d6d7ba560aa7a9dc, amount: 197.00 stc
address: 0xc1484c5c32f2d7160f72483d0c54bb08, amount: 197.00 stc
address: 0x8fdb882432f77a81370d7c9cd15c69f1, amount: 197.00 stc
address: 0x6Bd4ADa2a90344766b52E6b17B25eEB5, amount: 328.00 stc
address: 0x4404adeae6cbad498abd1dfa0110ad5e, amount: 328.00 stc
address: 0xf091793fcb13a56c9e63fa91f18d8662, amount: 328.00 stc
address: 0xbe9b7e95b38811bf541d0ea9493cac77, amount: 328.00 stc
address: 0x00009cc5c3d56231df33dd74cc4780f2, amount: 328.00 stc
address: 0xb7cfb5a135b3e63d93f7715d6ec82a75, amount: 328.00 stc
address: 0x888be9dffb84b8c95b4110783813fb1c, amount: 328.00 stc
